シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,番号（補助率等）,補助対象,補助率,補助上限等,補助率URL
レビューシート,2024,1,内閣人事局経費,1,内閣官房,内閣官房,内閣人事局,,,,,,,,,,
レビューシート,2024,4,情報システムの整備（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,戦略・組織,,政府ＤＸ担当,,,,,,,,
レビューシート,2024,7,マイナンバー制度の推進,13,デジタル庁,デジタル庁,国民向けサービス,,,マイナンバーカード広報班,,,,,,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,,,,,
レビューシート,2024,12,電子決裁システム（ＥＡＳＹ）（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,電子決裁システム担当,,,,,,,,
レビューシート,2024,13,共通情報検索システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,ｅーＬＡＷＳ／共通情報検索システム担当,,,,,,,,
レビューシート,2024,14,政府認証基盤（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,デジタル社会共通機能,,,トラスト担当　政府認証基盤（ＧＰＫＩ）班,,,,,,,
レビューシート,2024,15,電子政府の総合窓口システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,ｅーＧｏｖ班,,,,,,,
レビューシート,2024,18,政府共通ネットワーク（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通ネットワーク担当,,,,,,,,
レビューシート,2024,25,旅費等内部管理業務共通システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,旅費等内部管理業務共通システム担当,,,,,,,,
レビューシート,2024,26,法人共通認証基盤（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,ＧビズＩＤ班,,,,,,,
レビューシート,2024,27,補助金申請システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,Ｊグランツ班,,,,,,,
レビューシート,2024,31,国土強靱化政策推進経費,1,内閣官房,内閣官房,副長官補付,,国土強靭化推進室,,,,,,,,
レビューシート,2024,33,我が国の領土・主権に関する調査研究経費,1,内閣官房,内閣官房,副長官補付,,領土・主権対策企画調整室,,,,,,,,
レビューシート,2024,34,健康・医療戦略の推進に必要な経費,1,内閣官房,内閣官房,副長官補付,,健康・医療戦略室,,,,,,,,
レビューシート,2024,35,水循環推進経費,1,内閣官房,内閣官房,副長官補付,,水循環政策本部事務局,,,,,,,,
レビューシート,2024,38,地方創生施策の充実・強化に向けた調査・分析事業,1,内閣官房,内閣官房,副長官補付,,新しい地方経済・生活環境創生本部事務局,,,,,,,,
レビューシート,2024,39,地域活性化推進経費,1,内閣官房,内閣官房,副長官補付,,産業遺産の世界遺産登録推進室担当,,,,,,,,
レビューシート,2024,41,ギャンブル等依存症対策推進本部事務局経費,1,内閣官房,内閣官房,副長官補付,,ギャンブル等依存症対策推進本部事務局,,,,,,,,
レビューシート,2024,42,新型コロナウイルス感染症対策に係る普及啓発の推進,1,内閣官房,内閣官房,内閣感染症危機管理統括庁,,,,,,,,,,
レビューシート,2024,43,スマートライフ実現のためのＡＩシミュレーション,1,内閣官房,内閣官房,内閣感染症危機管理統括庁,,,,,,,,,,
レビューシート,2024,44,緊急事態に備えた調査・研究等経費,1,内閣官房,内閣官房,副長官補付（事態）,,,,,,,,,,
